Graph Name,N,M,Density,S-T Dist,Diameter,PR_seq Flow,PR_seq Time,PBBS Flow,PBBS Time 1T,PBBS Time 2T,PBBS Time 4T,PBBS Time 8T,PBBS Time 16T,PBBS Time 32T,PBBS Time 64T
GeoLifeNoScale_10_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,17.422700,N/A,0,0,0,0,0,0,.002000
antarctica_wgh.adj,1614,1917,1.18773,-1,23,0,.000192,N/A,0,0,0,0,0,0,.003000
europe_wgh.adj,unknown,unknown,unknown,unknown,unknown,3,75.357100,3,91.231000,91.285000,92.071000,98.981000,89.793000,89.338000,90.310000
Household_2_sym_wgh.adj,2049280,5515804,2.69158,-1,28,0,.572218,N/A,0,0,0,0,0,0,.002000
Household_10_sym_wgh.adj,2049280,25265084,12.3288,10,672,0,2.895210,N/A,0,0,0,0,0,0,.002000
Household_5_wgh.adj,2049280,10246400,5,37,1346,0,.990463,N/A,0,0,0,0,0,0,.002000
GeoLifeNoScale_20_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,40.819100,N/A,0,0,0,.002000,0,0,.002000
south-america_wgh.adj,22093401,29945256,1.35539,-1,5047,0,7.547560,N/A,.114000,.102000,.177000,.097000,.096000,.272000,.107000
GeoLifeNoScale_5_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,10.989800,N/A,0,0,0,0,0,0,.002000
CHEM_5_wgh.adj,4208261,21041305,5,1,12549,4585,.901753,4585,.218000,.276000,.319000,.402000,.506000,.779000,1.255000
CHEM_2_sym_wgh.adj,4208261,12367726,2.93892,1,268,2322,.584698,2322,.239000,.231000,.249000,.230000,.230000,.232000,.237000
HT_10_wgh.adj,928991,9289910,10,1,1205,0,.333878,N/A,0,0,0,0,0,0,.002000
Household_10_wgh.adj,2049280,20492800,10,12,672,0,2.202850,N/A,0,0,0,0,0,0,.003000
GeoLifeNoScale_10_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,0,21.719800,N/A,0,0,0,0,0,0,.002000
GeoLifeNoScale_2_wgh.adj,24876978,49753956,2,-1,11,0,3.811140,N/A,0,0,0,0,0,0,.002000
Cosmo50_5_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
HT_5_sym_wgh.adj,928991,5485738,5.90505,1,3259,1,.196462,1,.005000,.005000,.005000,.005000,.006000,.005000,.007000
europe_sym_wgh.adj,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
central-america_wgh.adj,3337974,4197508,1.2575,-1,2352,0,.706665,N/A,.052000,.053000,.062000,.063000,.053000,.052000,.055000
GeoLifeNoScale_10.bin,unknown,unknown,unknown,unknown,unknown,0,20.133300,N/A,.155000,.119000,.115000,.116000,.114000,.111000,.110000
Household_5_sym.bin,2049280,13004348,6.34581,11,1346,28653,1.825150,28653,.628000,.620000,.604000,.608000,.626000,.605000,.605000
grid_1000_100000.bin,unknown,unknown,unknown,unknown,unknown,5122,41.068000,5122,34.618000,31.203000,28.018000,26.805000,26.115000,27.487000,30.186000
HT_2_sym.bin,928991,2023042,2.17768,1,2,1915,.091842,1915,.006000,.006000,.007000,.006000,.006000,.006000,.009000
